DATE,DSPIC96_PCH
1959-04-01,1.60974
1959-07-01,-0.13390
1959-10-01,0.71132
1960-01-01,1.15614
1960-04-01,0.64420
1960-07-01,0.19271
1960-10-01,-0.04259
1961-01-01,0.94424
1961-04-01,1.51953
1961-07-01,1.33047
1961-10-01,1.94965
1962-01-01,0.98539
1962-04-01,1.07863
1962-07-01,0.54055
1962-10-01,0.88554
1963-01-01,0.86899
1963-04-01,0.92117
1963-07-01,1.09384
1963-10-01,1.62910
1964-01-01,1.95547
1964-04-01,2.69644
1964-07-01,1.30309
1964-10-01,1.13825
1965-01-01,1.17685
1965-04-01,1.12782
1965-07-01,2.73512
1965-10-01,2.01480
1966-01-01,0.98907
1966-04-01,0.26420
1966-07-01,1.22280
1966-10-01,1.17142
1967-01-01,1.50763
1967-04-01,0.79411
1967-07-01,0.95092
1967-10-01,0.72983
1968-01-01,1.66741
1968-04-01,1.64576
1968-07-01,0.31878
1968-10-01,0.77437
1969-01-01,0.24689
1969-04-01,0.97684
1969-07-01,2.04166
1969-10-01,0.76451
1970-01-01,1.05012
1970-04-01,1.23438
1970-07-01,1.59799
1970-10-01,-0.24020
1971-01-01,1.99479
1971-04-01,1.45507
1971-07-01,0.52416
1971-10-01,1.16642
1972-01-01,0.45842
1972-04-01,1.03829
1972-07-01,1.94373
1972-10-01,4.00850
1973-01-01,0.75809
1973-04-01,0.84400
1973-07-01,0.45197
1973-10-01,1.09335
1974-01-01,-1.65491
1974-04-01,-0.93271
1974-07-01,0.08956
1974-10-01,-0.13535
1975-01-01,-0.14833
1975-04-01,4.62614
1975-07-01,-1.45512
1975-10-01,0.78475
1976-01-01,1.20388
1976-04-01,0.56932
1976-07-01,0.78070
1976-10-01,0.63529
1977-01-01,0.22355
1977-04-01,0.93919
1977-07-01,1.38839
1977-10-01,1.91219
1978-01-01,0.78617
1978-04-01,1.05895
1978-07-01,0.77648
1978-10-01,0.65781
1979-01-01,1.19767
1979-04-01,-0.90048
1979-07-01,0.46731
1979-10-01,0.19898
1980-01-01,0.38104
1980-04-01,-0.87545
1980-07-01,1.09118
1980-10-01,1.33836
1981-01-01,-0.17900
1981-04-01,0.08427
1981-07-01,2.13928
1981-10-01,0.07438
1982-01-01,0.23661
1982-04-01,0.62287
1982-07-01,0.51278
1982-10-01,0.36658
1983-01-01,1.00077
1983-04-01,0.71602
1983-07-01,1.48708
1983-10-01,2.17111
1984-01-01,1.91259
1984-04-01,1.61450
1984-07-01,1.30407
1984-10-01,0.82738
1985-01-01,-0.23788
1985-04-01,1.99403
1985-07-01,-0.27454
1985-10-01,1.09851
1986-01-01,1.35303
1986-04-01,1.25573
1986-07-01,0.56022
1986-10-01,0.01237
1987-01-01,0.73790
1987-04-01,-1.03736
1987-07-01,1.79977
1987-10-01,1.44249
1988-01-01,1.64571
1988-04-01,1.14388
1988-07-01,1.01605
1988-10-01,0.95426
1989-01-01,1.07987
1989-04-01,-0.32730
1989-07-01,0.65770
1989-10-01,0.86053
1990-01-01,0.79951
1990-04-01,0.73946
1990-07-01,0.01425
1990-10-01,-0.80103
1991-01-01,0.30715
1991-04-01,0.75098
1991-07-01,0.38415
1991-10-01,0.78546
1992-01-01,1.92932
1992-04-01,0.93795
1992-07-01,0.43423
1992-10-01,0.44025
1993-01-01,0.38244
1993-04-01,0.31183
1993-07-01,0.08238
1993-10-01,0.69442
1994-01-01,0.65177
1994-04-01,0.99676
1994-07-01,0.58953
1994-10-01,1.43089
1995-01-01,0.84493
1995-04-01,0.27640
1995-07-01,0.90568
1995-10-01,0.56910
1996-01-01,0.93007
1996-04-01,0.90267
1996-07-01,0.78148
1996-10-01,0.50527
1997-01-01,0.91572
1997-04-01,0.86004
1997-07-01,1.18224
1997-10-01,1.47661
1998-01-01,2.12663
1998-04-01,1.40169
1998-07-01,0.99383
1998-10-01,0.74924
1999-01-01,1.06961
1999-04-01,0.06760
1999-07-01,0.70786
1999-10-01,1.29503
2000-01-01,1.74613
2000-04-01,1.18196
2000-07-01,1.31991
2000-10-01,0.66954
2001-01-01,0.79647
2001-04-01,-0.07690
2001-07-01,2.28495
2001-10-01,-1.65877
2002-01-01,2.39575
2002-04-01,0.80291
2002-07-01,0.12155
2002-10-01,0.61171
2003-01-01,0.02588
2003-04-01,1.13588
2003-07-01,1.70533
2003-10-01,0.27062
2004-01-01,0.45304
2004-04-01,1.02353
2004-07-01,0.64536
2004-10-01,1.16261
2005-01-01,-1.35517
2005-04-01,0.91358
2005-07-01,0.36788
2005-10-01,0.89702
2006-01-01,1.85150
2006-04-01,0.37320
2006-07-01,0.14447
2006-10-01,1.21925
2007-01-01,0.76580
2007-04-01,0.49545
2007-07-01,0.16839
2007-10-01,0.12173
2008-01-01,0.42403
2008-04-01,2.05574
2008-07-01,-1.92422
2008-10-01,1.14350
2009-01-01,-0.07891
2009-04-01,0.67090
2009-07-01,-1.21100
2009-10-01,0.14654
2010-01-01,0.60031
2010-04-01,1.66206
2010-07-01,0.54301
2010-10-01,0.37816
2011-01-01,1.00638
2011-04-01,-0.19838
2011-07-01,0.53295
2011-10-01,0.22429
2012-01-01,1.53458
2012-04-01,0.67249
2012-07-01,-0.79260
2012-10-01,2.78332
2013-01-01,-3.96230
2013-04-01,0.75770
2013-07-01,0.34945
2013-10-01,0.13791
2014-01-01,1.16638
2014-04-01,1.25762
2014-07-01,0.94008
2014-10-01,1.42662
2015-01-01,1.37623
2015-04-01,0.30079
2015-07-01,0.55794
2015-10-01,0.56632
2016-01-01,0.81164
2016-04-01,-0.20098
2016-07-01,0.56563
2016-10-01,0.65059
2017-01-01,1.03707
2017-04-01,1.09067
2017-07-01,0.69915
2017-10-01,0.62005
2018-01-01,1.04902
2018-04-01,0.89723
2018-07-01,1.05457
2018-10-01,0.95268
2019-01-01,1.23091
2019-04-01,-0.07393
2019-07-01,0.67448
2019-10-01,0.48058
2020-01-01,0.65764
2020-04-01,9.92670
2020-07-01,-3.55418
2020-10-01,-2.07084
2021-01-01,12.03273
2021-04-01,-7.78018
2021-07-01,-1.15356
2021-10-01,-1.13265
2022-01-01,-2.85322
2022-04-01,-0.46120
2022-07-01,1.61463
2022-10-01,0.92525
2023-01-01,2.62833
2023-04-01,0.82893
2023-07-01,0.33871
2023-10-01,0.78266
2024-01-01,1.36671
2024-04-01,0.58676
2024-07-01,0.39060
